"","Country Name","variable","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by non-communicable diseases (% of total)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","Fertility rate, total (births per woman)","GDP per capita (current US$)","Immunization, measles (% of children ages 12-23 months)","Incidence of HIV (% of uninfected population ages 15-49)","Intentional homicides (per 100,000 people)","Intentional homicides, female (per 100,000 female)","Intentional homicides, male (per 100,000 male)","Life expectancy at birth, total (years)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)","Mortality rate, infant (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)","Number of neonatal deaths","Nurses and midwives (per 1,000 people)","Physicians (per 1,000 people)","Population ages 0-14, total","Population, female","Population, male","Population, total","Rural population","Smoking prevalence, females (% of adults)","Smoking prevalence, total (ages 15+)","Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)","Urban population"
"1","Jamaica","1960",NA,NA,NA,NA,NA,5.419,429.3258531,NA,NA,NA,NA,NA,64.387,NA,60.8,34.5,2293,NA,0.386,675001,844500,783752,1628252,1078408,NA,NA,NA,549844
"2","Jamaica","1961",NA,NA,NA,NA,NA,5.529,453.1294649,NA,NA,NA,NA,NA,64.96,NA,58.6,33.3,2252,NA,NA,691969,858094,792712,1650806,1081278,NA,NA,NA,569528
"3","Jamaica","1962",NA,NA,NA,NA,NA,5.627,463.9596992,NA,NA,NA,NA,NA,65.484,NA,56.5,32.2,2210,NA,NA,708939,873136,803114,1676250,1085556,NA,NA,NA,590694
"4","Jamaica","1963",NA,NA,NA,NA,NA,5.711,485.3192983,NA,NA,NA,NA,NA,65.962,NA,54.6,31.1,2151,NA,NA,725054,888576,814819,1703395,1090428,NA,NA,NA,612967
"5","Jamaica","1964",NA,NA,NA,NA,NA,5.775,518.8897231,NA,NA,NA,NA,NA,66.396,NA,52.9,30,2092,NA,NA,740135,903018,827468,1730486,1094705,NA,NA,NA,635781
"6","Jamaica","1965",NA,NA,NA,NA,NA,5.815,553.5269471,NA,NA,NA,NA,NA,66.789,NA,51.3,29,2021,NA,0.502,754775,915454,840812,1756266,1097684,NA,NA,NA,658582
"7","Jamaica","1966",NA,NA,NA,NA,NA,5.821,616.0536107,NA,NA,NA,NA,NA,67.144,NA,49.8,28,1948,NA,NA,776719,925407,854857,1780264,1099046,NA,NA,NA,681218
"8","Jamaica","1967",NA,NA,NA,NA,NA,5.79,636.7080743,NA,NA,NA,NA,NA,67.466,NA,48.4,27.1,1869,NA,NA,799902,933398,869666,1803064,1099220,NA,NA,NA,703844
"9","Jamaica","1968",NA,NA,NA,NA,NA,5.722,593.7027625,NA,NA,NA,NA,NA,67.763,NA,47,26.2,1788,NA,NA,823203,940624,885009,1825633,1098757,NA,NA,NA,726876
"10","Jamaica","1969",NA,NA,NA,NA,NA,5.617,644.1433078,NA,NA,NA,NA,NA,68.045,NA,45.6,25.4,1707,NA,NA,845389,948795,900619,1849414,1098626,NA,NA,NA,750788
