Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Jamaica,JAM,Urban population,SP.URB.TOTL,549844,569528,590694,612967,635781,658582,681218,703844,726876,750788,774982,796983,820270,844363,868585,892468,915684,938323,961130,985111,1010986,1039149,1068777,1091723,1113374,1132462,1148457,1161850,1173693,1185561,1198642,1213438,1230117,1247776,1265948,1284325,1302902,1321739,1340545,1358914,1376628,1393465,1408397,1422359,1436019,1449489,1462893,1476104,1489116,1501782,1514053,1525946,1537886,1549957,1562242,1574768,1587569,1600590
Jamaica,JAM,Rural population,SP.RUR.TOTL,1078408,1081278,1085556,1090428,1094705,1097684,1099046,1099220,1098757,1098626,1100399,1107033,1114558,1122337,1129449,1135269,1139401,1142215,1144534,1147579,1152059,1158434,1166550,1181943,1195573,1206176,1213263,1217429,1219841,1222159,1225600,1230251,1235245,1241006,1247101,1253115,1259091,1265088,1270822,1275968,1280236,1283546,1287049,1290152,1292758,1295184,1297386,1299363,1301006,1302300,1303157,1303547,1303106,1301850,1299845,1297166,1293786,1289709
Jamaica,JAM,"Population, male",SP.POP.TOTL.MA.IN,783752,792712,803114,814819,827468,840812,854857,869666,885009,900619,916274,931927,947578,963132,978481,993600,1008213,1022357,1036661,1052009,1068922,1087864,1108370,1128861,1147175,1161827,1172172,1178904,1183601,1188527,1195348,1204500,1215497,1227948,1241168,1254588,1268258,1282261,1296014,1308775,1320063,1329569,1337464,1344346,1351087,1358304,1366188,1374518,1383021,1391270,1398923,1405940,1412410,1418370,1423896,1429050,1433816,1438148
Jamaica,JAM,"Population, female",SP.POP.TOTL.FE.IN,844500,858094,873136,888576,903018,915454,925407,933398,940624,948795,959107,972089,987250,1003568,1019553,1034137,1046872,1058181,1069003,1080681,1094123,1109719,1126957,1144805,1161772,1176811,1189548,1200375,1209933,1219193,1228894,1239189,1249865,1260834,1271881,1282852,1293735,1304566,1315353,1326107,1336801,1347442,1357982,1368165,1377690,1386369,1394091,1400949,1407101,1412812,1418287,1423553,1428582,1433437,1438191,1442884,1447539,1452151
Jamaica,JAM,"Population, total",SP.POP.TOTL,1628252,1650806,1676250,1703395,1730486,1756266,1780264,1803064,1825633,1849414,1875381,1904016,1934828,1966700,1998034,2027737,2055085,2080538,2105664,2132690,2163045,2197583,2235327,2273666,2308947,2338638,2361720,2379279,2393534,2407720,2424242,2443689,2465362,2488782,2513049,2537440,2561993,2586827,2611367,2634882,2656864,2677011,2695446,2712511,2728777,2744673,2760279,2775467,2790122,2804082,2817210,2829493,2840992,2851807,2862087,2871934,2881355,2890299
Jamaica,JAM,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,,,1.05,,,,,1.05,,,,,1.05,,,,,1.05,,,,,1.05,,,,,1.05,,,1.05,,1.05,,,,,1.05,,,,,1.05,,,,,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Jamaica,JAM,"Population ages 65 and above, total",SP.POP.65UP.TO,70326,74582,79443,84554,89752,95132,96990,98841,100768,102881,105270,107888,110690,113527,116172,118479,124107,129558,134994,140524,146113,150465,154547,158355,161859,164989,167616,170377,173356,176587,180129,182392,184540,186550,188461,190316,193608,197145,201018,205132,209347,211574,213784,216100,218670,221616,224783,227810,230818,234152,238184,242840,248304,254340,260639,267181,273644,279893
Jamaica,JAM,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,28160,30076,32361,34834,37386,40100,41293,42539,43831,45187,46587,48051,49469,50830,52095,53253,56036,58805,61578,64366,67116,69258,71243,73049,74656,76034,76944,77830,78770,79833,81070,82164,83349,84622,85961,87340,89283,91257,93235,95154,96974,97807,98586,99455,100524,101856,103282,104701,106145,107753,109681,112140,114936,117961,121100,124377,127771,131107
Jamaica,JAM,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,42163,44523,47105,49752,52387,55026,55697,56301,56927,57694,58686,59827,61207,62694,64077,65227,68077,70758,73417,76163,78994,81194,83294,85291,87186,88957,90671,92546,94587,96761,99055,100244,101208,101949,102510,102976,104327,105887,107772,109968,112372,113759,115192,116652,118151,119758,121510,123118,124682,126401,128508,130695,133363,136374,139537,142803,145874,148785
Jamaica,JAM,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.2485199,,,,,,
